label,species,has_bill_shape,has_wing_color,has_upperparts_color,has_underparts_color,has_breast_pattern,has_back_color,has_tail_shape,has_upper_tail_color,has_head_pattern,has_breast_color,has_throat_color,has_eye_color,has_bill_length,has_forehead_color,has_under_tail_color,has_nape_color,has_belly_color,has_wing_shape,has_size,has_shape,has_back_pattern,has_tail_pattern,has_belly_pattern,has_primary_color,has_leg_color,has_bill_color,has_crown_color,has_wing_pattern
14,Indigo_Bunting,cone,blue,blue,blue,solid,blue,forked_tail,blue,spotted,blue,blue,brown,about_the_same_as_head,blue,blue,blue,blue,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,blue,brown,blue,blue,solid
15,Lazuli_Bunting,cone,blue,blue,buff,solid,blue,forked_tail,blue,spotted,blue,blue,brown,shorter_than_head,blue,blue,blue,buff,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,blue,brown,blue,blue,solid
16,Painted_Bunting,cone,blue,green,red,multicolored,blue,rounded_tail,red,crested,red,red,black,about_the_same_as_head,blue,red,blue,red,rounded-wings,small_(5_-_9_in),perching-like,multicolored,multicolored,multicolored,blue,blue,blue,blue,multicolored
17,Cardinal,cone,red,red,red,solid,red,rounded_tail,red,crested,red,red,black,about_the_same_as_head,red,red,red,red,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,red,brown,orange,red,solid
18,Spotted_Catbird,curved_up_or_down,brown,brown,buff,spotted,brown,fan-shaped_tail,brown,spotted,brown,brown,brown,about_the_same_as_head,brown,buff,brown,buff,rounded-wings,medium_(9_-_16_in),upright-perching_water-like,spotted,solid,solid,brown,brown,brown,brown,solid
19,Gray_Catbird,curved_up_or_down,gray,gray,gray,solid,gray,rounded_tail,gray,plain,gray,gray,brown,about_the_same_as_head,gray,gray,gray,gray,rounded-wings,small_(5_-_9_in),upright-perching_water-like,solid,solid,solid,gray,gray,gray,gray,solid
20,Yellow_breasted_Chat,curved_up_or_down,olive,olive,yellow,multi-colored,olive,rounded_tail,olive,eyebrow,yellow,olive,brown,about_the_same_as_head,olive,olive,olive,yellow,rounded-wings,small_(5_-_9_in),upright-perching_water-like,multi-colored,solid,solid,yellow,brown,grey,olive,multi-colored
21,Eastern_Towhee,dagger,brown,black,white,solid,black,rounded_tail,black,malar,black,white,red,about_the_same_as_head,black,white,black,white,rounded-wings,medium_(9_-_16_in),upright-perching_water-like,solid,solid,solid,black,pink,black,black,spotted
22,Chuck_will_Widow,all-purpose,brown,brown,buff,solid,brown,rounded_tail,brown,plain,buff,buff,brown,about_the_same_as_head,buff,buff,brown,buff,tapered-wings,large_(16_-_32_in),owl-like,solid,solid,solid,brown,brown,brown,brown,solid
23,Brandt_Cormorant,hooked,black,black,white,solid,black,rounded_tail,black,plain,black,black,blue,about_the_same_as_head,black,black,black,white,long-wings,medium_(9_-_16_in),upright-perching_water-like,solid,solid,solid,black,black,black,black,solid
24,Red_faced_Cormorant,hooked_seabird,black,black,white,solid,black,rounded_tail,black,spotted,black,red,blue,about_the_same_as_head,black,black,black,white,long-wings,medium_(9_-_16_in),upright-perching_water-like,solid,solid,solid,black,black,black,black,solid
25,Pelagic_Cormorant,hooked_seabird,black,black,black,solid,black,rounded_tail,black,plain,black,black,blue,about_the_same_as_head,black,black,black,black,pointed-wings,medium_(9_-_16_in),upright-perching_water-like,solid,solid,solid,black,black,black,black,solid
26,Bronzed_Cowbird,curved_down,black,black,black,multi-colored,black,rounded_tail,black,plain,black,black,brown,about_the_same_as_head,black,black,black,black,rounded-wings,medium_(9_-_16_in),perching-like,solid,solid,solid,black,black,black,black,multi-colored
27,Shiny_Cowbird,curved_up_or_down,black,iridescent,iridescent,solid,iridescent,rounded_tail,iridescent,plain,black,black,brown,about_the_same_as_head,iridescent,iridescent,iridescent,black,pointed-wings,small_(5_-_9_in),upland-ground-like,solid,solid,solid,iridescent,black,black,iridescent,solid
28,Brown_Creeper,curved_(down),brown,brown,white,striped,brown,rounded_tail,brown,eyebrow,white,white,black,about_the_same_as_head,brown,white,brown,white,rounded-wings,small_(5_-_9_in),tree-clinging-like,striped,solid,solid,brown,brown,brown,brown,solid
29,American_Crow,curved_down,black,black,black,solid,black,rounded_tail,black,plain,black,black,black,about_the_same_as_head,black,black,black,black,rounded-wings,medium_(9_-_16_in),perching-like,solid,solid,solid,black,black,black,black,solid
30,Fish_Crow,hooked,black,black,black,solid,black,squared_tail,black,capped,black,black,black,about_the_same_as_head,black,black,black,black,rounded-wings,medium_(9_-_16_in),perching-like,solid,solid,solid,black,black,black,black,solid
31,Black_billed_Cuckoo,curved_up_or_down,brown,brown,buff,solid,brown,rounded_tail,brown,spotted,brown,brown,brown,about_the_same_as_head,brown,brown,brown,buff,rounded-wings,medium_(9_-_16_in),upright-perching_water-like,solid,solid,solid,brown,brown,black,brown,solid
32,Mangrove_Cuckoo,curved_down,brown,brown,buff,multi-colored,brown,rounded_tail,brown,plain,buff,buff,brown,about_the_same_as_head,brown,brown,brown,buff,rounded-wings,medium_(9_-_16_in),upright-perching_water-like,spotted,spotted,spotted,brown,brown,brown,brown,solid
33,Yellow_billed_Cuckoo,curved_up_or_down,brown,brown,white,solid,brown,rounded_tail,brown,plain,brown,white,brown,about_the_same_as_head,brown,white,brown,white,rounded-wings,medium_(9_-_16_in),upright-perching_water-like,solid,solid,solid,brown,brown,yellow,brown,solid
34,Gray_crowned_Rosy_Finch,cone,grey,grey,grey,multi-colored,grey,rounded_tail,grey,capped,grey,grey,black,about_the_same_as_head,grey,grey,grey,grey,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,grey,grey,grey,grey,solid
35,Purple_Finch,all-purpose,brown,purple,purple,striped,purple,forked_tail,purple,plain,purple,purple,brown,about_the_same_as_head,purple,purple,purple,purple,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,purple,brown,purple,purple,solid
36,Northern_Flicker,curved_up_or_down,brown,brown,buff,spotted,brown,rounded_tail,white,malar,buff,red,brown,shorter_than_head,brown,white,brown,buff,rounded-wings,medium_(9_-_16_in),upright-perching_water-like,spotted,spotted,spotted,brown,grey,grey,brown,spotted
37,Acadian_Flycatcher,curved_down,green,olive,yellow,solid,olive,forked_tail,olive,eyebrow,olive,yellow,brown,about_the_same_as_head,olive,yellow,olive,yellow,pointed-wings,small_(5_-_9_in),upright-perching_water-like,solid,solid,solid,green,olive,olive,olive,solid
38,Great_Crested_Flycatcher,curved_(up_or_down),brown,brown,yellow,solid,brown,forked_tail,brown,crested,yellow,yellow,brown,about_the_same_as_head,brown,yellow,brown,yellow,rounded-wings,medium_(9_-_16_in),upright-perching_water-like,solid,solid,solid,brown,brown,brown,brown,solid
39,Least_Flycatcher,curved_up_or_down,brown,brown,white,spotted,brown,forked_tail,brown,plain,white,white,brown,shorter_than_head,brown,white,brown,white,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,brown,brown,brown,brown,solid
40,Olive_sided_Flycatcher,all-purpose,olive,olive,white,spotted,olive,forked_tail,olive,eyebrow,white,white,brown,about_the_same_as_head,olive,white,olive,white,pointed-wings,medium_(9_-_16_in),perching-like,solid,solid,solid,olive,olive,olive,olive,solid
41,Scissor_tailed_Flycatcher,curved_up_or_down,pink,blue,white,solid,blue,forked_tail,white,spotted,white,white,black,about_the_same_as_head,white,white,white,white,long-wings,medium_(9_-_16_in),upright-perching_water-like,solid,solid,solid,blue,pink,black,white,solid
42,Vermilion_Flycatcher,dagger,brown,red,red,solid,red,rounded_tail,red,crested,red,red,brown,about_the_same_as_head,red,red,red,red,rounded-wings,small_(5_-_9_in),upright-perching_water-like,solid,solid,solid,red,brown,red,red,solid
43,Yellow_bellied_Flycatcher,curved_down,brown,brown,yellow,spotted,brown,forked_tail,brown,capped,yellow,yellow,brown,about_the_same_as_head,yellow,yellow,brown,yellow,pointed-wings,small_(5_-_9_in),perching-like,solid,solid,solid,yellow,brown,brown,yellow,solid
44,Frigatebird,hooked_seabird,black,black,white,solid,black,forked_tail,black,malar,black,black,brown,longer_than_head,black,white,black,white,long-wings,large_(16_-_32_in),gull-like,solid,solid,solid,black,black,black,black,solid
45,Northern_Fulmar,hooked_seabird,grey,grey,white,solid,grey,rounded_tail,grey,plain,white,white,dark,longer_than_head,white,white,grey,white,long-wings,medium_(9_-_16_in),upright-perching_water-like,solid,solid,solid,grey,light,yellow,grey,solid
46,Gadwall,spatulate,brown,brown,light_brown,solid,dark_brown,rounded_tail,brown,plain,light_brown,white,brown,longer_than_head,brown,brown,brown,light_brown,rounded-wings,medium_(9_-_16_in),duck-like,solid,solid,solid,brown,yellow,dark_brown,brown,solid
47,American_Goldfinch,cone,black,yellow,yellow,striped,black,forked_tail,black,capped,yellow,yellow,black,about_the_same_as_head,black,black,black,yellow,rounded-wings,small_(5_-_9_in),perching-like,multi-colored,striped,multi-colored,black,black,black,black,striped
48,European_Goldfinch,curved_up_or_down,black,black,yellow,striped,black,forked_tail,black,eyebrow,red,black,black,about_the_same_as_head,red,black,red,red,rounded-wings,small_(5_-_9_in),upright-perching_water-like,multi-colored,multi-colored,multi-colored,red,brown,black,red,multi-colored
49,Boat_tailed_Grackle,curved_down,purple,black,black,solid,black,rounded_tail,purple,plain,black,black,yellow,about_the_same_as_head,black,black,black,black,rounded-wings,medium_(9_-_16_in),upright-perching_water-like,solid,solid,solid,purple,black,black,black,solid
50,Eared_Grebe,dagger,black,black,white,solid,black,pointed_tail,black,plain,black,white,red,about_the_same_as_head,black,white,black,white,pointed-wings,small_(5_-_9_in),upright-perching_water-like,solid,solid,solid,black,green,black,black,solid
51,Horned_Grebe,curved_down,grey,black,white,striped,black,pointed_tail,black,eyebrow,white,black,red,about_the_same_as_head,black,white,black,white,pointed-wings,small_(5_-_9_in),upright-perching_water-like,striped,striped,striped,black,black,black,black,striped
52,Pied_billed_Grebe,specialized,black,brown,white,multi-colored,brown,rounded_tail,brown,plain,black,white,brown,about_the_same_as_head,black,white,brown,white,rounded-wings,small_(5_-_9_in),duck-like,solid,solid,solid,black,grey,black,brown,solid
53,Western_Grebe,all-purpose,white,black,white,solid,black,fan-shaped_tail,black,malar,white,white,red,longer_than_head,white,white,black,white,broad-wings,large_(16_-_32_in),gull-like,solid,solid,solid,black,black,black,black,solid
54,Blue_Grosbeak,cone,blue,blue,blue,solid,blue,rounded_tail,blue,eyebrow,blue,blue,brown,about_the_same_as_head,blue,blue,blue,blue,pointed-wings,medium_(9_-_16_in),perching-like,solid,solid,solid,blue,blue,blue,blue,solid
55,Evening_Grosbeak,curved_(up_or_down),brown,brown,yellow,solid,brown,forked_tail,brown,masked,brown,yellow,brown,about_the_same_as_head,brown,brown,brown,yellow,rounded-wings,medium_(9_-_16_in),upright-perching_water-like,solid,solid,solid,brown,brown,brown,brown,solid
56,Pine_Grosbeak,cone,brown,grey,pink,solid,grey,rounded_tail,grey,plain,pink,pink,brown,about_the_same_as_head,grey,pink,grey,pink,rounded-wings,medium_(9_-_16_in),perching-like,solid,solid,solid,grey,pink,pink,grey,solid
57,Rose_breasted_Grosbeak,cone,black,black,white,multi-colored,black,rounded_tail,black,spotted,black,black,black,about_the_same_as_head,black,black,black,white,rounded-wings,medium_(9_-_16_in),perching-like,solid,solid,solid,black,pink,pink,black,solid
58,Pigeon_Guillemot,dagger,black,black,white,striped,black,forked_tail,black,malar,white,black,black,about_the_same_as_head,black,black,black,white,pointed-wings,medium_(9_-_16_in),pigeon-like,solid,solid,solid,black,black,black,black,solid
59,California_Gull,all-purpose,white,grey,white,solid,grey,rounded_tail,white,eyeing,white,white,white,about_the_same_as_head,white,white,grey,white,rounded-wings,medium_(9_-_16_in),gull-like,solid,solid,solid,white,pink,yellow,white,solid
60,Glaucous_winged_Gull,hooked_seabird,grey,grey,white,solid,grey,rounded_tail,white,malar,white,white,yellow,about_the_same_as_head,white,white,grey,white,broad-wings,large_(16_-_32_in),gull-like,solid,solid,solid,grey,pale,yellow,white,solid
61,Heermann_Gull,hooked_seabird,grey,dark_brown,white,solid,dark_brown,forked_tail,white,spotted,white,white,yellow,about_the_same_as_head,white,white,white,white,long-wings,medium_(9_-_16_in),gull-like,solid,solid,solid,dark_brown,pink,orange,white,solid
62,Herring_Gull,hooked_seabird,grey,grey,white,solid,grey,rounded_tail,white,spotting,white,white,yellow,about_the_same_as_head,white,white,white,white,long-wings,large_(16_-_32_in),gull-like,solid,solid,solid,grey,pink,yellow,white,solid
63,Ivory_Gull,all-purpose,white,white,white,solid,white,rounded_tail,white,plain,white,white,brown,about_the_same_as_head,white,white,white,white,rounded-wings,medium_(9_-_16_in),gull-like,solid,solid,solid,white,white,yellow,white,solid
64,Ring_billed_Gull,curved_(up_or_down),white,grey,white,solid,grey,rounded_tail,white,white,white,white,yellow,about_the_same_as_head,white,white,white,white,rounded-wings,large_(16_-_32_in),gull-like,solid,solid,solid,white,yellow,yellow,white,multi-colored
65,Slaty_backed_Gull,hooked_seabird,white,grey,white,solid,slate,rounded_tail,white,eyebrow,white,white,yellow,about_the_same_as_head,white,white,white,white,pointed-wings,large_(16_-_32_in),gull-like,solid,solid,solid,white,yellow,yellow,white,solid
66,Western_Gull,hooked_seabird,grey,grey,white,solid,grey,rounded_tail,grey,eyeliner,grey,white,yellow,about_the_same_as_head,white,white,grey,white,long-wings,large_(16_-_32_in),gull-like,solid,solid,solid,grey,pink,yellow,white,solid
67,Anna_Hummingbird,curved_(up_or_down),green,green,grey,solid,green,forked_tail,green,plain,grey,red,black,about_the_same_as_head,green,grey,green,grey,tapered-wings,very_small(3_-_5_in),hummingbird-like,solid,solid,solid,green,grey,black,green,solid
68,Ruby_throated_Hummingbird,curved_up_or_down,green,green,white,solid,green,forked_tail,green,plain,green,ruby,black,shorter_than_head,green,white,green,white,long-wings,small_(5_-_9_in),hummingbird-like,solid,solid,solid,green,gray,black,green,solid
69,Rufous_Hummingbird,dagger,rufous,rufous,rufous,solid,rufous,forked_tail,rufous,capped,rufous,rufous,rufous,shorter_than_head,rufous,rufous,rufous,rufous,tapered-wings,small_(5_-_9_in),hummingbird-like,solid,solid,solid,rufous,rufous,rufous,rufous,solid
70,Green_Violetear,curved_up_or_down,green,green,green,solid,green,forked_tail,green,plain,green,green,green,about_the_same_as_head,green,green,green,green,pointed-wings,small_(5_-_9_in),hummingbird-like,solid,solid,solid,green,green,green,green,solid
71,Long_tailed_Jaeger,hooked,brown,brown,white,solid,brown,forked_tail,brown,eyebrow,brown,white,brown,about_the_same_as_head,brown,brown,brown,white,pointed-wings,large_(16_-_32_in),gull-like,solid,solid,solid,brown,brown,brown,brown,solid
72,Pomarine_Jaeger,hooked_seabird,brown,brown,white,solid,brown,forked_tail,brown,eyebrow,white,white,brown,about_the_same_as_head,brown,brown,brown,white,long-wings,medium_(9_-_16_in),gull-like,solid,solid,solid,brown,brown,brown,brown,solid
73,Blue_Jay,hooked,blue,blue,white,solid,blue,rounded_tail,blue,crested,blue,white,blue,about_the_same_as_head,blue,blue,blue,white,rounded-wings,medium_(9_-_16_in),upright-perching_water-like,solid,solid,solid,blue,blue,blue,blue,solid
74,Florida_Jay,curved_up_or_down,blue,blue,blue,stripped,blue,rounded_tail,blue,crested,blue,blue,blue,about_the_same_as_head,blue,blue,blue,blue,rounded-wings,medium_(9_-_16_in),perching-like,solid,solid,solid,blue,blue,blue,blue,solid
75,Green_Jay,curved_up_or_down,green,green,green,solid,green,rounded_tail,green,plain,green,green,brown,about_the_same_as_head,green,green,green,green,rounded-wings,medium_(9_-_16_in),perching-like,solid,solid,solid,green,green,green,green,solid
76,Dark_eyed_Junco,cone,grey,grey,white,solid,grey,forked_tail,white,plain,grey,white,brown,about_the_same_as_head,grey,white,grey,white,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,grey,grey,grey,grey,solid
77,Tropical_Kingbird,all-purpose,grey,olive,yellow,solid,olive,forked_tail,olive,eyebrow,yellow,yellow,black,about_the_same_as_head,yellow,yellow,olive,yellow,pointed-wings,medium_(9_-_16_in),perching-like,solid,solid,solid,yellow,grey,black,yellow,solid
78,Gray_Kingbird,all-purpose,grey,grey,grey,solid,grey,rounded_tail,grey,plain,grey,grey,grey,about_the_same_as_head,grey,grey,grey,grey,long-wings,medium_(9_-_16_in),perching-like,solid,solid,solid,grey,grey,grey,grey,solid
79,Belted_Kingfisher,dagger,blue,blue,white,solid,blue,pointed_tail,blue,capped,white,white,brown,about_the_same_as_head,blue,white,blue,white,pointed-wings,medium_(9_-_16_in),upright-perching_water-like,solid,striped,solid,blue,blue,blue,blue,solid
80,Green_Kingfisher,curved_down,green,green,green,solid,green,rounded_tail,green,plain,green,green,brown,about_the_same_as_head,green,green,green,green,rounded-wings,small_(5_-_9_in),upright-perching_water-like,solid,solid,solid,green,green,green,green,solid
81,Pied_Kingfisher,dagger,blue,white,white,solid,blue,pointed_tail,blue,capped,white,blue,brown,about_the_same_as_head,blue,white,blue,white,rounded-wings,small_(5_-_9_in),upright-perching_water-like,solid,solid,solid,blue,blue,black,blue,solid
82,Ringed_Kingfisher,dagger,blue,blue,white,solid,blue,rounded_tail,blue,eyebrow,blue,white,brown,about_the_same_as_head,blue,blue,blue,white,pointed-wings,medium_(9_-_16_in),upright-perching_water-like,solid,solid,solid,blue,blue,blue,blue,solid
83,White_breasted_Kingfisher,dagger,blue,blue,white,solid,blue,rounded_tail,blue,capped,white,white,brown,longer_than_head,blue,white,blue,white,rounded-wings,medium_(9_-_16_in),upright-perching_water-like,solid,solid,solid,blue,buff,black,blue,solid
84,Red_legged_Kittiwake,hooked_seabird,white,grey,white,solid,grey,forked_tail,grey,plain,white,white,black,about_the_same_as_head,white,white,white,white,pointed-wings,medium_(9_-_16_in),gull-like,solid,solid,solid,white,red,black,white,solid
85,Horned_Lark,all-purpose,brown,brown,white,spotted,brown,notched_tail,brown,eyebrow,brown,brown,brown,about_the_same_as_head,brown,white,brown,white,rounded-wings,small_(5_-_9_in),upland-ground-like,solid,solid,solid,brown,brown,brown,brown,solid
86,Pacific_Loon,dagger,black,black,white,solid,black,rounded_tail,black,plain,black,white,red,about_the_same_as_head,black,black,black,white,long-wings,medium_(9_-_16_in),upright-perching_water-like,solid,solid,solid,black,black,black,black,solid
87,Mallard,dagger,blue,brown,white,multi-colored,brown,rounded_tail,brown,plain,brown,white,black,about_the_same_as_head,green,white,green,white,rounded-wings,medium_(9_-_16_in),duck-like,solid,solid,solid,blue,orange,yellow,green,solid
88,Western_Meadowlark,curved_down,brown,brown,yellow,multi-colored,brown,forked_tail,brown,eyeing,yellow,yellow,black,about_the_same_as_head,yellow,yellow,yellow,yellow,pointed-wings,medium_(9_-_16_in),upland-ground-like,solid,solid,solid,yellow,brown,yellow,yellow,solid
89,Hooded_Merganser,dagger,black,black,white,solid,black,rounded_tail,white,crested,black,white,yellow,shorter_than_head,white,white,black,white,rounded-wings,medium_(9_-_16_in),duck-like,solid,solid,solid,black,orange,black,black,solid
90,Red_breasted_Merganser,dagger,white,black,white,striped,black,pointed_tail,black,eyeliner,red,white,yellow,longer_than_head,red,black,black,white,long-wings,medium_(9_-_16_in),diving-like,solid,solid,solid,black,grey,red,black,solid
91,Mockingbird,all-purpose,grey,grey,white,solid,grey,fan-shaped_tail,grey,plain,white,white,black,about_the_same_as_head,grey,white,grey,white,rounded-wings,medium_(9_-_16_in),upright-perching_water-like,solid,solid,solid,grey,grey,black,grey,solid
92,Nighthawk,all-purpose,brown,brown,brown,solid,brown,rounded_tail,brown,eyebrow,brown,brown,brown,about_the_same_as_head,brown,brown,brown,brown,long-wings,medium_(9_-_16_in),owl-like,solid,solid,solid,brown,brown,brown,brown,solid
93,Clark_Nutcracker,dagger,black,black,black,solid,black,rounded_tail,black,eyebrow,black,black,black,about_the_same_as_head,black,black,black,black,rounded-wings,medium_(9_-_16_in),upland-ground-like,solid,solid,solid,black,black,black,black,solid
94,White_breasted_Nuthatch,dagger,blue,blue,white,solid,blue,rounded_tail,blue,eyebrow,white,white,black,about_the_same_as_head,blue,white,blue,white,rounded-wings,small_(5_-_9_in),tree-clinging-like,solid,solid,solid,blue,blue,blue,blue,solid
95,Baltimore_Oriole,all-purpose,black,orange,orange,multi-colored,orange,forked_tail,black,black,orange,orange,black,shorter_than_head,orange,black,black,orange,rounded-wings,medium_(9_-_16_in),perching-like,solid,solid,solid,orange,black,orange,orange,solid
96,Hooded_Oriole,curved_up_or_down,black,yellow,yellow,solid,yellow,forked_tail,yellow,malar,black,black,black,about_the_same_as_head,black,yellow,black,yellow,pointed-wings,small_(5_-_9_in),upright-perching_water-like,solid,solid,solid,black,black,black,black,multi-colored
97,Orchard_Oriole,curved_down,black,black,yellow,solid,black,forked_tail,black,eyebrow,black,black,red,about_the_same_as_head,black,yellow,black,yellow,pointed-wings,small_(5_-_9_in),perching-like,solid,solid,solid,black,black,black,black,multi-colored
98,Scott_Oriole,dagger,black,black,yellow,solid,black,rounded_tail,black,malar,black,black,black,about_the_same_as_head,black,yellow,black,yellow,rounded-wings,small_(5_-_9_in),upright-perching_water-like,solid,solid,solid,yellow,black,black,black,solid
99,Ovenbird,curved_up_or_down,brown,brown,white,striped,brown,rounded_tail,brown,eyebrow,white,white,brown,about_the_same_as_head,brown,white,brown,white,rounded-wings,small_(5_-_9_in),upright-perching_water-like,striped,striped,striped,brown,pink,pink,brown,striped
100,Brown_Pelican,dagger,brown,brown,brown,solid,brown,rounded_tail,brown,plain,brown,brown,brown,about_the_same_as_head,brown,brown,brown,brown,long-wings,large_(16_-_32_in),upright-perching_water-like,solid,solid,solid,brown,brown,brown,brown,solid
101,White_Pelican,dagger,white,white,white,solid,white,forked_tail,white,plain,white,white,brown,about_the_same_as_head,white,white,white,white,long-wings,large_(16_-_32_in),upright-perching_water-like,solid,solid,solid,white,white,white,white,solid
102,Western_Wood_Pewee,curved_down,brown,brown,white,solid,brown,forked_tail,brown,plain,brown,white,brown,about_the_same_as_head,brown,white,brown,white,pointed-wings,small_(5_-_9_in),perching-like,solid,solid,solid,brown,brown,brown,brown,solid
103,Sayornis,dagger,brown,brown,white,solid,brown,rounded_tail,brown,plain,brown,white,brown,about_the_same_as_head,brown,brown,brown,white,rounded-wings,medium_(9_-_16_in),upright-perching_water-like,solid,solid,solid,brown,brown,brown,brown,solid
104,American_Pipit,curved_up_or_down,brown,brown,buff,solid,brown,forked_tail,brown,plain,buff,buff,brown,about_the_same_as_head,buff,buff,brown,buff,pointed-wings,medium_(9_-_16_in),ground-like,solid,solid,solid,brown,brown,brown,brown,solid
105,Whip_poor_Will,curved_down,brown,brown,buff,spotted,brown,rounded_tail,brown,eyebrow,brown,buff,brown,about_the_same_as_head,brown,brown,brown,buff,rounded-wings,medium_(9_-_16_in),upland-ground-like,solid,solid,solid,brown,brown,brown,brown,solid
106,Horned_Puffin,hooked_seabird,black,black,white,solid,black,rounded_tail,black,capped,black,white,black,shorter_than_head,black,black,black,white,rounded-wings,medium_(9_-_16_in),owl-like,solid,spotted,solid,black,black,black,black,solid
107,Common_Raven,curved_(up_or_down),black,black,black,solid,black,rounded_tail,black,plain,black,black,black,about_the_same_as_head,black,black,black,black,broad-wings,large_(16_-_32_in),upright-perching_water-like,solid,solid,solid,black,black,black,black,solid
108,White_necked_Raven,curved_up_or_down,black,black,black,solid,black,rounded_tail,black,capped,black,black,black,about_the_same_as_head,black,black,black,black,pointed-wings,medium_(9_-_16_in),upright-perching_water-like,solid,solid,solid,black,black,black,black,solid
109,American_Redstart,all-purpose,black,black,white,striped,black,fan-shaped_tail,black,spotted,black,black,red,about_the_same_as_head,black,white,black,white,rounded-wings,small_(5_-_9_in),perching-like,striped,striped,striped,black,black,black,black,multi-colored
110,Geococcyx,curved_down,brown,brown,white,solid,brown,fan-shaped_tail,brown,eyebrow,white,white,brown,about_the_same_as_head,white,white,brown,white,rounded-wings,medium_(9_-_16_in),upright-perching_water-like,solid,solid,solid,brown,brown,brown,brown,solid
111,Loggerhead_Shrike,hooked,grey,grey,white,solid,grey,rounded_tail,grey,eyebrow,white,white,brown,about_the_same_as_head,white,white,grey,white,pointed-wings,medium_(9_-_16_in),perching-like,solid,solid,solid,grey,grey,black,grey,solid
112,Great_Grey_Shrike,hooked,grey,grey,white,solid,grey,rounded_tail,grey,eyebrow,white,white,brown,about_the_same_as_head,grey,white,grey,white,rounded-wings,medium_(9_-_16_in),perching-like,solid,solid,solid,grey,grey,black,grey,solid
